代碼,簡稱,年月,指數
SB23   ,美國紐約史坦普爾500股價指數,19900102,        359.690
SB23   ,美國紐約史坦普爾500股價指數,19900103,        358.760
SB23   ,美國紐約史坦普爾500股價指數,19900104,        355.670
SB23   ,美國紐約史坦普爾500股價指數,19900105,        352.200
SB23   ,美國紐約史坦普爾500股價指數,19900108,        353.790
SB23   ,美國紐約史坦普爾500股價指數,19900109,        349.620
SB23   ,美國紐約史坦普爾500股價指數,19900110,        347.310
SB23   ,美國紐約史坦普爾500股價指數,19900111,        348.530
SB23   ,美國紐約史坦普爾500股價指數,19900112,        339.930
SB23   ,美國紐約史坦普爾500股價指數,19900115,        337.000
SB23   ,美國紐約史坦普爾500股價指數,19900116,        340.750
SB23   ,美國紐約史坦普爾500股價指數,19900117,        337.400
SB23   ,美國紐約史坦普爾500股價指數,19900118,        338.190
SB23   ,美國紐約史坦普爾500股價指數,19900119,        339.150
SB23   ,美國紐約史坦普爾500股價指數,19900122,        330.380
SB23   ,美國紐約史坦普爾500股價指數,19900123,        331.610
SB23   ,美國紐約史坦普爾500股價指數,19900124,        330.260
SB23   ,美國紐約史坦普爾500股價指數,19900125,        326.080
SB23   ,美國紐約史坦普爾500股價指數,19900126,        325.800
SB23   ,美國紐約史坦普爾500股價指數,19900129,        325.200
SB23   ,美國紐約史坦普爾500股價指數,19900130,        322.980
SB23   ,美國紐約史坦普爾500股價指數,19900131,        329.080
SB23   ,美國紐約史坦普爾500股價指數,19900201,        328.790
SB23   ,美國紐約史坦普爾500股價指數,19900202,        330.920
SB23   ,美國紐約史坦普爾500股價指數,19900205,        331.850
SB23   ,美國紐約史坦普爾500股價指數,19900206,        329.660
SB23   ,美國紐約史坦普爾500股價指數,19900207,        333.750
SB23   ,美國紐約史坦普爾500股價指數,19900208,        332.960
SB23   ,美國紐約史坦普爾500股價指數,19900209,        333.620
SB23   ,美國紐約史坦普爾500股價指數,19900212,        330.080
SB23   ,美國紐約史坦普爾500股價指數,19900213,        331.020
SB23   ,美國紐約史坦普爾500股價指數,19900214,        332.010
SB23   ,美國紐約史坦普爾500股價指數,19900215,        334.890
SB23   ,美國紐約史坦普爾500股價指數,19900216,        332.720
SB23   ,美國紐約史坦普爾500股價指數,19900220,        327.990
SB23   ,美國紐約史坦普爾500股價指數,19900221,        327.670
SB23   ,美國紐約史坦普爾500股價指數,19900222,        325.700
SB23   ,美國紐約史坦普爾500股價指數,19900223,        324.150
SB23   ,美國紐約史坦普爾500股價指數,19900226,        328.670
SB23   ,美國紐約史坦普爾500股價指數,19900227,        330.260
SB23   ,美國紐約史坦普爾500股價指數,19900228,        331.890
SB23   ,美國紐約史坦普爾500股價指數,19900301,        332.740
SB23   ,美國紐約史坦普爾500股價指數,19900302,        335.540
SB23   ,美國紐約史坦普爾500股價指數,19900305,        333.740
SB23   ,美國紐約史坦普爾500股價指數,19900306,        337.930
SB23   ,美國紐約史坦普爾500股價指數,19900307,        336.950
SB23   ,美國紐約史坦普爾500股價指數,19900308,        340.270
SB23   ,美國紐約史坦普爾500股價指數,19900309,        337.930
SB23   ,美國紐約史坦普爾500股價指數,19900312,        338.670
SB23   ,美國紐約史坦普爾500股價指數,19900313,        336.000
SB23   ,美國紐約史坦普爾500股價指數,19900314,        336.870
SB23   ,美國紐約史坦普爾500股價指數,19900315,        338.070
SB23   ,美國紐約史坦普爾500股價指數,19900316,        341.910
SB23   ,美國紐約史坦普爾500股價指數,19900319,        343.530
SB23   ,美國紐約史坦普爾500股價指數,19900320,        341.570
SB23   ,美國紐約史坦普爾500股價指數,19900321,        339.740
SB23   ,美國紐約史坦普爾500股價指數,19900322,        335.690
SB23   ,美國紐約史坦普爾500股價指數,19900323,        337.220
SB23   ,美國紐約史坦普爾500股價指數,19900326,        337.630
SB23   ,美國紐約史坦普爾500股價指數,19900327,        341.500
SB23   ,美國紐約史坦普爾500股價指數,19900328,        342.000
SB23   ,美國紐約史坦普爾500股價指數,19900329,        340.790
SB23   ,美國紐約史坦普爾500股價指數,19900330,        339.940
SB23   ,美國紐約史坦普爾500股價指數,19900402,        338.700
SB23   ,美國紐約史坦普爾500股價指數,19900403,        343.640
SB23   ,美國紐約史坦普爾500股價指數,19900404,        341.090
SB23   ,美國紐約史坦普爾500股價指數,19900405,        340.730
SB23   ,美國紐約史坦普爾500股價指數,19900406,        340.080
SB23   ,美國紐約史坦普爾500股價指數,19900409,        341.370
SB23   ,美國紐約史坦普爾500股價指數,19900410,        342.070
SB23   ,美國紐約史坦普爾500股價指數,19900411,        341.920
SB23   ,美國紐約史坦普爾500股價指數,19900412,        344.340
SB23   ,美國紐約史坦普爾500股價指數,19900416,        344.740
SB23   ,美國紐約史坦普爾500股價指數,19900417,        344.680
SB23   ,美國紐約史坦普爾500股價指數,19900418,        340.720
