證券代碼,簡稱,年月日,開盤價(元),收盤價(元),成交量(千股)
00679B ,元大美債20年 ,20170117,    36.8228,    36.8135,      928
00679B ,元大美債20年 ,20170118,    36.7857,    36.7764,      601
00679B ,元大美債20年 ,20170119,    36.6373,    36.4982,     1001
00679B ,元大美債20年 ,20170120,    36.2199,    36.0994,      261
00679B ,元大美債20年 ,20170123,    36.1086,    36.0622,      338
00679B ,元大美債20年 ,20170124,    36.2385,    36.2570,      861
00679B ,元大美債20年 ,20170202,    35.5799,    35.5892,      639
00679B ,元大美債20年 ,20170203,    35.4130,    35.3666,     1286
00679B ,元大美債20年 ,20170206,    35.2553,    35.2089,      833
00679B ,元大美債20年 ,20170207,    35.4965,    35.5614,      399
00679B ,元大美債20年 ,20170208,    35.7098,    35.7933,      416
00679B ,元大美債20年 ,20170209,    36.2478,    36.1272,      474
00679B ,元大美債20年 ,20170210,    35.8675,    35.8304,      348
00679B ,元大美債20年 ,20170213,    35.7562,    35.7191,      361
00679B ,元大美債20年 ,20170214,    35.5614,    35.4315,      351
00679B ,元大美債20年 ,20170215,    35.2553,    35.0698,      492
00679B ,元大美債20年 ,20170216,    35.0049,    35.0605,      339
00679B ,元大美債20年 ,20170217,    35.1254,    35.1440,       78
00679B ,元大美債20年 ,20170218,    35.1904,    35.3573,       25
00679B ,元大美債20年 ,20170220,    35.3759,    35.3295,      106
00679B ,元大美債20年 ,20170221,    35.2739,    35.3017,       61
00679B ,元大美債20年 ,20170222,    35.2275,    35.2275,      310
00679B ,元大美債20年 ,20170223,    35.3295,    35.4130,       18
00679B ,元大美債20年 ,20170224,    35.3759,    35.4037,      197
00679B ,元大美債20年 ,20170301,    35.4594,    35.3944,      251
00679B ,元大美債20年 ,20170302,    35.1533,    35.2182,      382
00679B ,元大美債20年 ,20170303,    35.2182,    35.3573,     1299
00679B ,元大美債20年 ,20170306,    35.3944,    35.4130,       25
00679B ,元大美債20年 ,20170307,    35.2089,    35.1533,      285
00679B ,元大美債20年 ,20170308,    35.0327,    35.0141,      133
00679B ,元大美債20年 ,20170309,    34.9678,    34.9399,      203
00679B ,元大美債20年 ,20170310,    34.8008,    34.7915,      150
00679B ,元大美債20年 ,20170313,    34.7266,    34.8008,       44
00679B ,元大美債20年 ,20170314,    34.6153,    34.6153,      557
00679B ,元大美債20年 ,20170315,    34.7730,    34.7081,     1805
00679B ,元大美債20年 ,20170316,    35.0234,    34.8750,     1801
00679B ,元大美債20年 ,20170317,    34.5689,    34.5968,     1569
00679B ,元大美債20年 ,20170320,    34.8750,    34.7359,      316
00679B ,元大美債20年 ,20170321,    34.7359,    34.7730,     3044
