"","date","BC_1MONTH","BC_2MONTH","BC_3MONTH","BC_6MONTH","BC_1Y","BC_2Y","BC_3Y","BC_5Y","BC_7Y","BC_10Y","BC_20Y","BC_30Y","BC_30YDISPLAY"
"1","NANANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","NANANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","NANANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","NANANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","NANANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","NANANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","NANANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","NANANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","NANANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","NANANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","NANANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","NANANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","NANANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","NANANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","NANANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","NANANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","NANANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","NANANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","NANANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","NANANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","19900608","","","7.9600000381469727","8.0299997329711914","8.0699996948242188","8.3299999237060547","8.380000114440918","8.4200000762939453","8.5100002288818359","8.4600000381469727","","8.4399995803833","0"
"22","19900607","","","7.9600000381469727","8.0100002288818359","8.0699996948242188","8.34000015258789","8.380000114440918","8.40999984741211","8.4899997711181641","8.4600000381469727","","8.4300003051757813","0"
"23","19900611","","","7.9899997711181641","8.0699996948242188","8.09000015258789","8.3599996566772461","8.40999984741211","8.4300003051757813","8.5200004577636719","8.4799995422363281","","8.4499998092651367","0"
"24","19900613","","","7.929999828338623","7.9899997711181641","8.0200004577636719","8.2700004577636719","8.3199996948242188","8.3500003814697266","8.4399995803833","8.3999996185302734","","8.3900003433227539","0"
"25","19900612","","","7.9899997711181641","8.0500001907348633","8.09000015258789","8.3599996566772461","8.4200000762939453","8.4399995803833","8.5200004577636719","8.4799995422363281","","8.4499998092651367","0"
"26","19900601","","","7.940000057220459","8.0100002288818359","8.0600004196167","8.3299999237060547","8.3599996566772461","8.380000114440918","8.4700002670288086","8.4399995803833","","8.4300003051757813","0"
"27","19900531","","","8.0100002288818359","8.119999885559082","8.2200002670288086","8.5","8.5299997329711914","8.5600004196167","8.6400003433227539","8.6000003814697266","","8.5799999237060547","0"
