"","date","TC_5YEAR","TC_7YEAR","TC_10YEAR","TC_20YEAR","TC_30YEAR"
"1","NANANA",NA,NA,NA,NA,NA
"2","NANANA",NA,NA,NA,NA,NA
"3","NANANA",NA,NA,NA,NA,NA
"4","NANANA",NA,NA,NA,NA,NA
"5","NANANA",NA,NA,NA,NA,NA
"6","NANANA",NA,NA,NA,NA,NA
"7","NANANA",NA,NA,NA,NA,NA
"8","NANANA",NA,NA,NA,NA,NA
"9","NANANA",NA,NA,NA,NA,NA
"10","NANANA",NA,NA,NA,NA,NA
"11","NANANA",NA,NA,NA,NA,NA
"12","NANANA",NA,NA,NA,NA,NA
"13","NANANA",NA,NA,NA,NA,NA
"14","NANANA",NA,NA,NA,NA,NA
"15","NANANA",NA,NA,NA,NA,NA
"16","NANANA",NA,NA,NA,NA,NA
"17","NANANA",NA,NA,NA,NA,NA
"18","NANANA",NA,NA,NA,NA,NA
"19","NANANA",NA,NA,NA,NA,NA
"20","NANANA",NA,NA,NA,NA,NA
"21","NANANA",NA,NA,NA,NA,NA
"22","NANANA",NA,NA,NA,NA,NA
"23","NANANA",NA,NA,NA,NA,NA
"24","NANANA",NA,NA,NA,NA,NA
"25","NANANA",NA,NA,NA,NA,NA
"26","NANANA",NA,NA,NA,NA,NA
"27","NANANA",NA,NA,NA,NA,NA
"28","NANANA",NA,NA,NA,NA,NA
"29","NANANA",NA,NA,NA,NA,NA
"30","NANANA",NA,NA,NA,NA,NA
"31","NANANA",NA,NA,NA,NA,NA
"32","NANANA",NA,NA,NA,NA,NA
"33","NANANA",NA,NA,NA,NA,NA
"34","NANANA",NA,NA,NA,NA,NA
"35","NANANA",NA,NA,NA,NA,NA
"36","NANANA",NA,NA,NA,NA,NA
"37","NANANA",NA,NA,NA,NA,NA
"38","NANANA",NA,NA,NA,NA,NA
"39","NANANA",NA,NA,NA,NA,NA
"40","NANANA",NA,NA,NA,NA,NA
"41","NANANA",NA,NA,NA,NA,NA
"42","NANANA",NA,NA,NA,NA,NA
"43","NANANA",NA,NA,NA,NA,NA
"44","NANANA",NA,NA,NA,NA,NA
"45","NANANA",NA,NA,NA,NA,NA
"46","NANANA",NA,NA,NA,NA,NA
"47","20030829","1.469603","1.942502","2.286533","",""
"48","20030828","1.441756","1.935096","2.287035","",""
"49","20030827","1.535636","2.000701","2.356089","",""
"50","20030902","1.633659","2.072477","2.427376","",""
"51","20030905","1.314357","1.803082","2.168848","",""
"52","20030904","1.494524","1.979856","2.320425","",""
"53","20030903","1.583955","2.05802","2.400547","",""
"54","20030826","1.467293","1.951303","2.284725","",""
"55","20030819","1.39904","1.892909","2.238885","",""
"56","20030818","1.486827","1.989301","2.333796","",""
"57","20030815","1.501854","2.02617","2.35571","",""
"58","20030820","1.406086","1.895223","2.256223","",""
"59","20030825","1.490672","1.960728","2.312804","",""
"60","20030822","1.419459","1.903895","2.255961","",""
"61","20030821","1.448533","1.922459","2.292046","",""
"62","20030908","1.375903","1.857582","2.235507","",""
"63","20030923","1.289633","1.804663","2.194518","",""
"64","20030922","1.322568","1.822527","2.2061","",""
"65","20030919","1.295315","1.789064","2.174504","",""
"66","20030924","1.210128","1.721849","2.128302","",""
"67","20030929","1.071067","1.604721","2.031676","",""
"68","20030926","1.037191","1.573805","1.98836","",""
"69","20030925","1.138157","1.666735","2.068358","",""
"70","20030918","1.2987","1.815598","2.183438","",""
"71","20030911","1.317837","1.838876","2.224571","",""
"72","20030910","1.281368","1.80002","2.177223","",""
"73","20030909","1.33608","1.842649","2.206248","",""
"74","20030912","1.265026","1.781811","2.17605","",""
"75","20030917","1.285046","1.793013","2.199846","",""
"76","20030916","1.318327","1.839929","2.259501","",""
"77","20030915","1.25311","1.77656","2.183651","",""
"78","20030717","1.313991","1.763248","2.052398","",""
"79","20030716","1.309993","1.770542","2.076851","",""
"80","20030715","1.282856","1.738565","2.062657","",""
"81","20030718","1.282363","1.720573","2.035156","",""
"82","20030723","1.37408","1.799221","2.106292","",""
"83","20030722","1.479133","1.889821","2.187583","",""
"84","20030721","1.468033","1.885528","2.212114","",""
"85","20030714","1.130604","1.583049","1.916283","",""
"86","20030707","1.192963","1.684613","2.140118","",""
"87","20030703","1.108234","1.603734","2.091473","",""
"88","20030702","1.038881","1.532379","1.958671","",""
"89","20030708","1.235475","1.740748","2.116757","",""
"90","20030711","1.101536","1.575289","1.884855","",""
"91","20030710","1.140376","1.607216","1.94343","",""
"92","20030709","1.167111","1.655455","1.995321","",""
"93","20030724","1.408209","1.843248","2.180878","",""
"94","20030808","1.431525","1.931059","2.272809","",""
"95","20030807","1.407139","1.963817","2.291434","",""
"96","20030806","1.52985","1.991919","2.338333","",""
"97","20030811","1.440012","1.934141","2.307112","",""
"98","20030814","1.526839","2.031772","2.376067","",""
"99","20030813","1.553634","2.057912","2.413419","",""
"100","20030812","1.421008","1.926341","2.293617","",""
"101","20030805","1.615728","2.10912","2.432547","",""
"102","20030729","1.625089","2.053923","2.375768","",""
"103","20030728","1.493257","1.926798","2.271014","",""
"104","20030725","1.343284","1.807253","2.142441","",""
"105","20030730","1.54449","1.983982","2.318604","",""
"106","20030804","1.518932","1.994404","2.337029","",""
"107","20030801","1.619196","2.106221","2.404978","",""
"108","20030731","1.628342","2.091284","2.412316","",""
"109","20030930","0.989343","1.529377","1.950342","",""
"110","20031202","1.380587","1.75132","2.04984","",""
"111","20031201","1.416467","1.769392","2.076889","",""
"112","20031128","1.36286","1.730064","2.029337","",""
"113","20031203","1.396044","1.76822","2.077302","",""
"114","20031208","1.222049","1.626223","1.955802","",""
"115","20031205","1.201547","1.585235","1.917258","",""
"116","20031204","1.353221","1.72023","2.044351","",""
"117","20031126","1.262257","1.647424","1.95723","",""
"118","20031119","1.220333","1.583113","1.905486","",""
"119","20031118","1.144313","1.501004","1.833183","",""
"120","20031117","1.116133","1.48734","1.822879","",""
"121","20031120","1.232338","1.579792","1.91665","",""
"122","20031125","1.205648","1.598256","1.921291","",""
"123","20031124","1.26427","1.651271","1.98727","",""
"124","20031121","1.234284","1.612049","1.927566","",""
"125","20031209","1.239618","1.66963","1.995411","",""
"126","20031224","1.194415","1.595223","1.96236","",""
"127","20031223","1.262248","1.667119","2.029008","",""
"128","20031222","1.208993","1.626874","1.983569","",""
"129","20031226","1.162905","1.572229","1.939888","",""
"130","20031231","1.216482","1.619623","1.995911","",""
"131","20031230","1.234911","1.654523","2.013583","",""
"132","20031229","1.205044","1.629543","1.985393","",""
"133","20031219","1.184323","1.59554","1.953686","",""
"134","20031212","1.127566","1.56594","1.910413","",""
"135","20031211","1.102379","1.545208","1.904667","",""
"136","20031210","1.187803","1.645716","1.970773","",""
"137","20031215","1.177969","1.621549","1.98117","",""
"138","20031218","1.201788","1.603443","1.943915","",""
"139","20031217","1.182811","1.59992","1.960821","",""
"140","20031216","1.190179","1.632173","1.988664","",""
"141","20031016","1.321492","1.842941","2.209309","",""
"142","20031015","1.280211","1.796667","2.202795","",""
"143","20031014","1.23066","1.739753","2.176608","",""
"144","20031017","1.259407","1.748687","2.13667","",""
"145","20031022","1.243795","1.681371","2.070296","",""
"146","20031021","1.267503","1.741659","2.117211","",""
"147","20031020","1.273118","1.736162","2.132469","",""
"148","20031010","1.183406","1.690929","2.138885","",""
"149","20031003","1.225133","1.734479","2.158597","",""
"150","20031002","1.073595","1.59889","2.013358","",""
"151","20031001","1.000951","1.530851","1.96118","",""
"152","20031006","1.1861","1.691156","2.112899","",""
"153","20031009","1.252978","1.771368","2.204675","",""
"154","20031008","1.249992","1.766729","2.180083","",""
"155","20031007","1.240064","1.745273","2.169367","",""
"156","20031023","1.230119","1.671503","2.034159","",""
"157","20031107","1.417023","1.775784","2.098369","",""
"158","20031106","1.410575","1.763595","2.081191","",""
"159","20031105","1.342895","1.698","2.018033","",""
"160","20031110","1.404833","1.766894","2.087189","",""
"161","20031114","1.172265","1.525919","1.867413","",""
"162","20031113","1.2396","1.611575","1.944484","",""
"163","20031112","1.359463","1.727993","2.044116","",""
